open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore,market_cap
2020-11-24,18368.01,19418.97,18018.0,19160.01,113581.509241,2020-11-24 23:59:59.999,2145301450.4579408,2179862,58179.200882,1098976481.1257048,0,382253695506.0
2020-11-25,19160.0,19484.21,18500.27,18719.11,93266.576887,2020-11-25 23:59:59.999,1774870796.2882328,1785408,44575.076758,848724583.3300526,0,373457475966.0
2020-11-26,18718.83,18915.03,16188.0,17149.47,181005.246693,2020-11-26 23:59:59.999,3127314143.1045747,2770483,84478.809131,1459155975.9531503,0,342142216182.0
2020-11-27,17149.47,17457.62,16438.08,17139.52,85297.024787,2020-11-27 23:59:59.999,1446670351.435088,1572299,42507.358433,720985570.3407376,0,341943707712.0
2020-11-28,17139.53,17880.49,16865.56,17719.85,64910.69997,2020-11-28 23:59:59.999,1128061605.107225,1209385,31785.706898,552044705.3606101,0,353521639410.0
2020-11-29,17719.84,18360.05,17517.0,18184.99,55329.016303,2020-11-29 23:59:59.999,996743798.8649216,1141289,27883.985296,502287686.119384,0,362801461494.00006
2020-11-30,18185.0,19863.16,18184.99,19695.87,115463.466888,2020-11-30 23:59:59.999,2205929119.505336,1744149,61033.414903,1166943549.1842444,0,392944424022.0
2020-12-01,19695.87,19888.0,18001.12,18764.96,127698.762652,2020-12-01 23:59:59.999,2446070334.8287983,2023802,63805.392898,1223282816.3192167,0,374372210976.0
2020-12-02,18764.96,19342.0,18330.0,19204.09,75911.013478,2020-12-02 23:59:59.999,1436895344.8259497,1566635,36421.690398,689901298.5700688,0,383133117954.0
2020-12-03,19204.08,19598.0,18867.2,19421.9,66689.391279,2020-12-03 23:59:59.999,1286548310.8267057,1242229,33868.341698,653783366.9045953,0,387478558140.0
2020-12-04,19422.34,19527.0,18565.31,18650.52,71283.6682,2020-12-04 23:59:59.999,1358079975.025498,1286657,32363.453715,616745259.3145112,0,372089064312.0
2020-12-05,18650.51,19177.0,18500.0,19147.66,42922.748573,2020-12-05 23:59:59.999,813445434.1308142,932124,21360.260281,405002656.06997126,0,382007305596.0
2020-12-06,19147.66,19420.0,18857.0,19359.4,37043.091861,2020-12-06 23:59:59.999,709558933.5829058,820382,19009.407663,364303500.9570982,0,386231645640.0
2020-12-07,19358.67,19420.91,18902.88,19166.9,41372.296293,2020-12-07 23:59:59.999,793517668.6839459,840954,18881.806014,362249650.0534163,0,382391155140.0
2020-12-08,19166.9,19294.84,18200.0,18324.11,61626.947614,2020-12-08 23:59:59.999,1160658077.404659,1143181,27811.37851,524064471.55038375,0,365576988966.0
2020-12-09,18324.11,18639.57,17650.0,18541.28,79585.553801,2020-12-09 23:59:59.999,1450130664.0645843,1302476,36809.009287,671042442.4745308,0,369909660768.0
2020-12-10,18541.29,18557.32,17911.12,18254.63,52890.675094,2020-12-10 23:59:59.999,966149529.000607,891151,25604.608069,467840780.52674687,0,364190821278.0
2020-12-11,18254.81,18292.73,17572.33,18036.53,72610.724259,2020-12-11 23:59:59.999,1301081647.3079,1117810,34194.988471,612882050.9167273,0,359839595418.0
2020-12-12,18036.53,18948.66,18020.7,18808.69,49519.978432,2020-12-12 23:59:59.999,915552835.9061832,891810,26056.332648,481756117.716001,0,375244650714.0
2020-12-13,18808.69,19411.0,18711.12,19174.99,56560.821744,2020-12-13 23:59:59.999,1083520569.0948539,938022,29593.4651,566907850.6233119,0,382552555494.00006
2020-12-14,19174.99,19349.0,19000.0,19273.14,47257.201294,2020-12-14 23:59:59.999,906101687.739595,842382,22657.463401,434506325.32761055,0,384510706884.0
2020-12-15,19273.69,19570.0,19050.0,19426.43,61834.366011,2020-12-15 23:59:59.999,1196361527.9258018,1046423,31194.160849,603826364.4139218,0,387568934358.0
2020-12-16,19426.43,21560.0,19278.6,21335.52,114306.33557,2020-12-16 23:59:59.999,2325135958.641841,1659135,61245.262375,1245917122.172021,0,425656425312.0
2020-12-17,21335.52,23800.0,21230.0,22797.16,184882.476748,2020-12-17 23:59:59.999,4196645567.4258766,2795084,92409.405079,2097021808.6295657,0,454817020296.0
2020-12-18,22797.15,23285.18,22350.0,23107.39,79646.134315,2020-12-18 23:59:59.999,1820875361.2945976,1613775,38359.302158,877296889.5114686,0,461006294934.0
2020-12-19,23107.39,24171.47,22750.0,23821.61,86045.064677,2020-12-19 23:59:59.999,2018969878.8868675,1678611,42709.111498,1002105538.8592924,0,475255412466.0
2020-12-20,23821.6,24295.0,23060.0,23455.52,76690.145685,2020-12-20 23:59:59.999,1810862074.730308,1743225,37124.115358,877166936.6057343,0,467951697312.0
2020-12-21,23455.54,24102.77,21815.0,22719.71,88030.297243,2020-12-21 23:59:59.999,2035446293.9289708,1593949,41983.046103,971417184.6896445,0,453271846326.0
2020-12-22,22719.88,23837.1,22353.4,23810.79,87033.12616,2020-12-22 23:59:59.999,2010758620.2435267,1496277,42681.326708,986428672.7376072,0,475039546974.0
2020-12-23,23810.79,24100.0,22600.0,23232.76,119047.259733,2020-12-23 23:59:59.999,2797688007.0718794,2194611,56660.201961,1332358610.2684052,0,463507501656.0
